Date,Open,High,Low,Close,Adj Close,Volume
2019-01-21,27514.550781,27622.199219,27388.500000,27533.599609,27533.599609,0
2019-01-22,27526.550781,27533.349609,27385.400391,27482.250000,27482.250000,0
2019-01-23,27493.099609,27564.699219,27189.599609,27250.750000,27250.750000,0
2019-01-24,27273.500000,27342.349609,27142.800781,27266.400391,27266.400391,0
2019-01-25,27261.449219,27433.550781,27045.199219,27115.300781,27115.300781,0
2019-01-28,27041.449219,27134.199219,26587.949219,26653.050781,26653.050781,0
2019-01-29,26616.250000,26743.849609,26441.550781,26573.400391,26573.400391,0
2019-01-30,26789.750000,26916.250000,26693.699219,26825.500000,26825.500000,0
2019-01-31,26969.150391,27325.050781,26891.050781,27295.449219,27295.449219,0
2019-02-01,27334.550781,27533.050781,26930.449219,27085.949219,27085.949219,231600
2019-02-04,26974.000000,27243.800781,26825.550781,27186.599609,27186.599609,0
2019-02-05,27226.050781,27348.250000,27153.199219,27271.699219,27271.699219,0
2019-02-06,27326.199219,27428.650391,27294.099609,27402.349609,27402.349609,0
2019-02-07,27424.099609,27589.750000,27322.949219,27387.150391,27387.150391,0
2019-02-08,27302.650391,27482.099609,27221.250000,27294.400391,27294.400391,0
2019-02-11,27240.500000,27305.900391,27151.550781,27227.800781,27227.800781,0
2019-02-12,27166.900391,27286.650391,26988.900391,27010.750000,27010.750000,0
2019-02-14,26978.000000,27030.000000,26818.050781,26970.599609,26970.599609,0
2019-02-15,27017.199219,27029.949219,26635.250000,26794.250000,26794.250000,0
2019-02-18,26754.599609,26829.949219,26617.699219,26654.250000,26654.250000,0
2019-02-19,26666.550781,26996.449219,26625.599609,26684.849609,26684.849609,0
2019-02-20,26786.000000,26985.500000,26732.650391,26955.500000,26955.500000,0
2019-02-21,26994.750000,27100.900391,26973.000000,27052.400391,27052.400391,0
2019-02-22,26960.050781,26997.349609,26847.800781,26867.550781,26867.550781,0
2019-02-25,26934.199219,27197.099609,26932.650391,27159.250000,27159.250000,0
2019-02-26,26853.800781,27127.250000,26736.599609,26952.949219,26952.949219,0
2019-02-27,27078.099609,27189.449219,26719.400391,26799.300781,26799.300781,0
2019-02-28,26878.000000,26920.500000,26762.550781,26789.900391,26789.900391,0
2019-03-01,26941.000000,27076.550781,26928.900391,27043.900391,27043.900391,0
2019-03-05,27068.150391,27580.750000,26958.099609,27554.050781,27554.050781,0
2019-03-06,27618.099609,27681.650391,27492.050781,27625.650391,27625.650391,0
2019-03-07,27661.000000,27815.500000,27560.000000,27764.599609,27764.599609,0
2019-03-08,27686.150391,27811.349609,27645.400391,27761.800781,27761.800781,0
2019-03-11,27840.099609,28035.599609,27791.250000,27966.650391,27966.650391,0
2019-03-12,28168.199219,28488.099609,28142.250000,28443.699219,28443.699219,0
2019-03-13,28480.300781,28927.699219,28353.650391,28884.300781,28884.300781,0
2019-03-14,29028.900391,29070.349609,28819.750000,28923.099609,28923.099609,0
2019-03-15,29007.000000,29520.699219,28990.849609,29381.449219,29381.449219,0
2019-03-18,29521.599609,29812.000000,29361.650391,29596.099609,29596.099609,0
2019-03-19,29702.599609,29799.750000,29547.699219,29767.849609,29767.849609,0
2019-03-20,29769.650391,29885.199219,29633.500000,29832.199219,29832.199219,0
2019-03-22,29920.750000,30008.099609,29508.699219,29582.500000,29582.500000,0
2019-03-25,29329.400391,29329.400391,29156.250000,29281.199219,29281.199219,0
